,predicted,sentiment,text,textID
1803,neutral,negative, It takes a big man to type a sad tweet like that!,a3dff88c1d
1805,neutral,negative, I was going to but I`m stuck with it as I seem to have misplaced my remote  It`s extra bad tonight as well :|,21c6854561
1806,neutral,positive, Big Thanks Melody!  Gotta love that sunshine-lots of vit D,eb9b4d2431
1807,neutral,positive,i got baby g wach its zi same as the 1 lady gaga wears in eh eh film clip but in pink!! I LOVE YOU KAY thanks a heap  i win olivia,0b3b751482
1808,neutral,positive,Hey! Let`s Follow each other! Wouldn`t that just be awesome!?,932af12853
1809,neutral,positive," loving the shoes perez, looking fine as always  oh,and lady gaga, what can I say. Outstanding!",aacd4d0c3f
1815,neutral,negative," I got a headache because of all the hard work today, still not ready, with a #Heineken trying to finished up",59ee5ff2f9
1818,neutral,negative, Im sad i cant go. it makes me sad,5be8565b8d
1822,neutral,positive,so who is in for bring at HK lounge tomorrow ? $12 all you can drink till 5pm... then kareoke. I think it will be a nice Sunday!,5a8f396cb2
1823,neutral,negative, oh ****! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks,06a6314076
1825,neutral,positive, i do but is just a haul vid/photo slideshow only. I only do it for fun  http://www.youtube.com/eyezaddiction,895cec1c48
1827,neutral,negative,AHHHHHHHH!I can`t get miley to notice me......,37fa199c50
1828,neutral,positive,"Coffee brewing, on this #musicmonday morning i`m #listening to the fray... Here`s to a good week",121b9c13c2
1829,neutral,positive,I Wanna be @ JET in the Mirage...     Couldn`t get to Hawaii either   *****Someday***** Much Love To THE_WOCKEEZ and SuperCr3w,451880b8a6
1830,neutral,positive,Just finished yet another amazing book by Susan Elizabeth Philips!!!  God I love her books so much!!! Which one to read next??? hmmm...,c08a90abbd
1831,neutral,negative,_O_C I`m seriously screwed  I haven`t studied at all!!!! :`(,23dad0b69f
1834,neutral,negative,"tired as heck, i wanna go home and sleep but i cant cause im have to be at the wash till my daddy gets off work.",ec946f285d
1835,negative,neutral,is surfin`..,0b25a31b7e
1840,neutral,positive," Good morning to you, however it`s night time for me, so I am off to bed *hugs* Have a great day",88051e4bea
1841,neutral,positive,But I do know is that I am extremely happy with him and wouldn`t change him for the world and don`t want anybody else.,845495ffac
1842,neutral,positive,Getting the FAB portraits ready to upload today,241afcd4ec
1843,neutral,positive, You have DSL? Welcome to 2009!,eb85ce805d
1844,neutral,negative,Missing my mom today. We made it a 'date' every year to get our flowers together. This yr I was alone. Felt so weird,a04227ef4e
1845,neutral,negative,its too hot in my room. i wanna go swimming.,98c11bdba8
1847,neutral,positive, http://twitpic.com/4so0u - OOO i wish i was her  he`s hot,944cb46d62
1851,neutral,negative,It`s sooo hot 2day!! Put a ton of sunblock on before jogging; still think my face burnt though!,8c582b0575
1853,neutral,negative, took my forum access away   fail.,82c72d7fd0
1855,neutral,positive," hahaha! Guess you will have to reinforce your skates, haha... Remember who u r my friend, our semi-God with a gluten intolence",80d96cab37
1857,neutral,negative,the day goes on and on...i think im gonna write a song about it! still thinking itï¿½s impossible for me to get a true friend  why????,2f8250d0df
1858,neutral,positive,"OMG i meant  <3 you`re the perfect Wolverine,sir  hehe",0c83190ad8
1868,neutral,positive," very well, nothing flash - but different to chocolate 4 a change. good 2 meet U yesterday  gr8 atmosphere & discussion",954f523ded
1869,neutral,negative,I took my antibiotics and I still feel like ****,ed4b3d03eb
1871,neutral,negative,...Nomore adventure time,bd13675621
1872,neutral,positive,"happy bank holiday Monday, Tweeteramas! I`ll be spending the day doing yoga and having OCD attacks. You?",e389e41385
1873,neutral,negative,"Laura`s gone for the weekend, I miss her already!",88375a5f3e
1874,neutral,positive,had nutella croissant+mango+melon+coffee and a lovely stalk of iris for breakfast in bed courtesy of N  Have the house to myself til noon,7257f9b2b0
1875,neutral,negative,Whuuurrrrr - glands really swollen now. Guess the weekend`s a blow out.,d80d99b28c
1877,neutral,negative,LAZZZZZZZZZZZZZZZY MONDAY !! Bank Holiday  Nicole why haven`t u direct msged me yet ?!!!,a00246028f
1878,neutral,positive,"Yummy yum-cha for mother`s day with mum, dad, arcel and egg-pants  yuuuuuum  http://twitpic.com/4w65x",57f432f582
1879,neutral,positive,5 things this Twitterer could do without  http://MikeFrizzi.com/blog/?p=192 SRC  / I like this guy.,14193ff01c
1883,neutral,negative," HAHAAH! Crys, you blowing the fuses is a typical move",348804d270
1884,neutral,negative,"spirit week! Tuesday have to be in make up by eight so I can die later. School wednesday and thursday then, finally sleep in on Friday!!",dd7a9fb210
1887,neutral,negative," We`re off.  I`m sorry. Parents coming in around 10-11, gonna eat with them, then house-hunt in Richardson. RAAAAIN CHEEECK",f52e7e5a88
1888,neutral,negative,Just saw a dooope bmw 6 series parked with the top back....to bad it was raining,db4a79059a
1890,neutral,positive," ha ha, no, will be thankful i am not dragging them up a mountain today",7674cfa90a
1891,neutral,positive,"Had a great time with mpix shootout, just great  thanks mpix...",7dc87b5fc5
1892,neutral,positive,"Weather is lovely, I`m headed home via supermarket. Planning to spend some quality time knitting tonight.",6328fd1b81
1893,neutral,negative,sad ending to the softball season.,0473875c4a
1894,neutral,positive,Women in Science & Technology conference in La Jolla - what an interesting day!  Met some really great people!,3709c4e1be
1896,neutral,negative,Musem equaled FAIL!!!!! hall of **** life was closed cause of construction,846d43bc8f
1897,neutral,positive,Just joined a twibe. Visit http://twibes.com/spinning to join -- not a spinner myself but do KNOW and RESPECT spinners   ...need coffee,aa6e04fee2
1898,neutral,positive,http://twitpic.com/66ymw I`m gonna miss these guys so much  Thanks for making the 5 years at senior school amazing!,b84d47c65f
1901,neutral,positive,. very much enjoyed your 'whats in a name' article,da60c4db48
1903,neutral,positive,4 hours till Mothers Day Party  Yeah!,5b584d38ff
1905,neutral,negative,eating my roommate`s cereal. sorry bro,4e38efebc2
1906,neutral,positive, Good news about the tooth!,3195d34e5b
1907,neutral,negative," Yeah, I`m behind on my classic cinema calendar-making. I haven`t had time to go see any anyway.",8d2be5bfc8
1908,neutral,positive,Aww the little girl on Britain`s Got Talent!  I actually love Ant n Dec!  Oh an` Simon Cowell. ;),6788d6c565
1910,neutral,positive, it was amazing but due to time constraints could only visit the meadows and pine forest. Shall post images later.,3e3496c6d4
1913,neutral,positive,LOVE ME LOVE ME SAY THAT YOU LOVE ME...,1219ed4a21
1915,neutral,positive,    eeek!! Your coming!!!! Im soo excited to see you on Thursday!!,c35b8dbb8a
1916,positive,neutral,__ Thanks. It`s SO annoying!,b39dbc6ee5
1920,neutral,positive,"Emergency Radio for iPhone is awesome, listening to Johnson County Sheriffs live scanner stream",f3912c1463
1921,neutral,positive, thanks so much for the belated #followfriday shout out #payingitforward,fc5aa0f34f
1922,neutral,positive,Mommas day is may 10th! Don`t forget to do something nice for your mommyyy,ce71d002ec
1923,positive,negative," **** brah, u not happy?",dab7f56791
1924,neutral,positive, hah i`ma knock on wood but my PC has never crashed yet..nor my laptop  but then i`m careful with stuff so maybe that`s y,4c1733246f
1926,neutral,positive, happy birthdayyy! hope you have an awesome day. didn`t see you at next last night!,76f0861133
1934,neutral,negative, Aren`t we though? lol He`s at work now and I miss him  blah Wut cha up to?,ac4a84a76c
1935,neutral,negative," I keep trying to invite  out, but I think she`s afraid of me.",959c593450
1936,neutral,positive, thanks for the #followfriday as you can see us South Africans were on holiday on fri,f20074e0d0
1937,neutral,negative,ahhh!!!! u know what really sucks??? i sprained my toe!! OUCH!!,259b075523
1939,neutral,negative, Which denomination? I`m at the library and everything`s blocked.,78b24a76c4
1941,neutral,positive, Good luck at the services tomorrow!! I wish I could see you guys on your vacation!,3592e3ebc9
1942,neutral,negative," Hey, sorry I got off last night!",79c57e46eb
1943,neutral,positive, Yo Thomas! thanks for the follow  Social Media Director at Disney? That`s awesome! I`d like to learn more! Lets do lunch,54eba9eb73
1944,neutral,negative,"Gosh I miss singer`s theater.  I miss learning music, doing acting exercises, n I ESPECIALLY miss being onstage.",e17302312e
1945,neutral,positive,Good episode of Top Gear tonight.,360af83c85
1946,neutral,negative,awhile ago it freaking hot! now it`s wet  turn off!,4331a46aba
1948,neutral,positive," ta babe, you know me i do love your curried",6d7cbd206f
1951,neutral,negative, so sad i have to pay $60,a29a76a54c
1952,neutral,negative, i made a vid for you proving my skiLLs that you denied but my step dad said he`d disown me if i posted it ~   sowey,63491134ab
1953,neutral,positive," aww you are so helpful  we getting sweepy here, sis says we can have whipped cream before bed , i save u some",4fb2131d08
1955,neutral,negative,doneeee wheeee hahaaaaaaaa so tired and sleepy  peter u suck not coming to my bday!,5e84445c6a
1956,neutral,positive,Monday morning bathing - soooo relaxing! If I was a lady of luxury I would start every day like this,fd5eece5b2
1957,neutral,negative,my msn crashes way too much  hmph,7b88197891
1958,neutral,negative,"Im so angry right now .. today im not doind nothing and all my classmates yes  ,i think i will stay with my friend Mr.Computer .. hope not",3ba8596881
1959,neutral,positive,At social.  just saw G-1.. Awwww,ee6febbfb4
1960,neutral,positive,hey thanks for the follow  ..,fff97388cf
1961,neutral,positive,Enjoyed Star Trek... More please,e54c45018b
1964,neutral,negative, I don`t want to be a complete hypocrite - I attended an R-rated event while I was there - the timing was just ironic.,046af350ac
1967,neutral,positive,I have been awarded my first ever credit card,1aba7766ca
1968,neutral,positive, tts ridiculously sweet of you,575e4a89fe
1970,neutral,positive, hey that is pretty good sucking up - my daughter is exactly the same - glad to see I am not alone   Good luck mom,8800a2d912
1976,neutral,negative," Oh, final msg - Why didn`t you review my boardgame Bookchaseï¿½ when you were on telly? We didn`t even get a nice letter..",a9da40eedd
1977,neutral,positive,"staying afterschool today  not that i have any 'friends' on here - but if i did , i`d tell `em to text me ! lol [ likin` us <3 ]",3c9419868b
1981,neutral,negative,Man i am being boring today not tweeting  How are you guys?,89ac21e1f6
1983,neutral,negative,Cut my thumb with the saw in small metals   again...,b1f6fb88d4
1984,neutral,positive,is loving Mortal Combat right now!,34a862a739
1985,neutral,negative,Had Sbarro for dinner and Krispy Kreme for dessert. Mmmmm! But so not very healthy.,5da03690bc
1988,neutral,positive,snowbear has finally come out...congrats che and warren,faee4563bd
1990,neutral,negative,Start of diet today  I think I have to face I will never get back down to 77kilos (unless I cut a leg off)ï¿½,e162b84433
1991,neutral,positive,"mmm, pizza for dinner. yum. but i burnt my mouth though ..",156816e845
1992,neutral,negative,screw the fact you can`t post LONG updates on twitter,c13b15d9d1
1993,neutral,negative,**** awake at 2 am !  i hate sickness,204d6510c6
1995,neutral,positive,Inspired to blog about something inspirational. Haha.,2793cbbfab
1997,neutral,negative,Hail/Thunder storm here. The Power keeps on going on then off. It sucks.,b106a248a9
1999,neutral,positive, awwww yur a awesome mother keep up the good work,6e2c555beb
2000,neutral,negative,Pissed that my bluetooth headset`s battery out lasted my cell`s battery... Gg moto q.,838c1184b4
2002,neutral,negative,ayy fml. nothing is perfect,71c6b00c21
2007,neutral,negative," if I have 5000 friend requests tomorrow, I`m blaming you  nite",16a66e0b8c
2008,neutral,positive,"Namaste! Hooray for Monday! Undaunted by a 3am wakeup, I consider it is 9am in London and feel justified. Bright side to everything!",84c5b0a3f6
2009,neutral,negative,Listening to Busted - 3AM. I miss them,83e576fd29
2011,neutral,positive,i want to sleep XD !!!! but i have a song in my head that make me crazy and dont know if i write the song or not hahhaha,49ec855925
2012,neutral,positive,would some one plese suggest me a great thriller movie,ee51d32074
2014,neutral,negative, Yes I think so unless it changed.  I sent u a happy mothers day text but u never responded back,d64eec0d6c
2016,neutral,negative,_Fenton i didnt even finish cleaning my room cuz i went to a party ahhhh  ITS STILL MESSY,514b972ba8
2018,neutral,positive, it is so unfair that all the good rock shows happen only in B`lore and Pune,3ee7e1cbb0
2019,neutral,positive, knackered! been awake since 5 as couldn`t sleep! just started work now. coffee and toast sounds awesome  chris has been busy!,e5599343e7
2020,neutral,positive,"I don`t care about netsexor cams or the route to heaven, however, #lobster sounds super good.  I`m almost tempted to go get some.",0b20eef5b1
2021,neutral,positive,Nevermind! Beyonce doesn`t have a Twitter  Haha,790af846a5
2023,neutral,positive, Don`t ever turn off the part of your brain that talks ****! That`s where fun comes from,abc1500c46
2024,neutral,negative," no he sabido nada de ti, this is making me a bit sad I must say!",9d6fc9c77a
2025,neutral,negative,I missed the math trade,73e548424b
2026,neutral,positive,Down in Wellington for the Monet Exhibition. Casually just bumped into Wayne Brady in our hotel lobby!!  Mega exciting!!!,316d5aeaf6
2029,neutral,positive,_queen like it,a584ebd602
2031,neutral,negative,I am going to die tomorrow night.   should be here.,b303da170c
2033,neutral,negative, Nooooo!  Working this weekend,e22beff480
2038,neutral,positive,Justin Timberlake and Andy Samberg do it again.. Mother Lover skit on SNL was great,778c5660f8
2041,neutral,negative,"thought id tanned after an hour in the sun, i was wrong....i`ve just burnt",f5d5f1fd33
2043,neutral,negative, I work for Disney...not all it`s cracked up ta be.,4c79259b5e
2044,neutral,negative,WTF rehearsal  off  got to space and room was booked and the  brothers have stuff right after so we cant transfer to another room studio,9cd32dbec4
2053,neutral,negative,hey guys y did the sun make my day gloomy?,ced1083324
2054,neutral,negative,texting my friends and being bored...   gosh i hate rain!!,1d428212cb
2057,neutral,negative, yup its working. they couldn`t recover anything on it though,4f1a7d1d2c
2058,neutral,negative,rearry rip. Youd never guess what i ate..,d901264a08
2059,neutral,positive,  Well I was following you because I think your interesting ... and I was right,61ce1c40e5
2060,neutral,positive,I`d love too see you were it ,8dd7e34100
2062,neutral,negative,18 hours to work....*cry* i can`t survive!  // Weeelcome to my wonderland *sing along*,b681aef9aa
2063,neutral,negative,anyone have tickets to the mtv movie awards? some guy scammed me,5423cf0811
2066,neutral,negative,nothing to do this evening.. MISSING LIFESTORY,e9174e5bb2
2070,neutral,positive,being a computer geek is entertaining.... i think.,33680fc87e
2072,neutral,positive, that`s a good sentence,25ce655a84
2073,neutral,negative, D: But it is making people unhappy and I dun like unhappiness,25f1991c36
2074,neutral,negative,Oh god! I had to look at 'How to use Twitter'.. how hopeless is that?!,84fcf21a64
2075,neutral,negative,studying for this **** econ test,7de5a7e4cc
2076,neutral,positive, no problem! i think it`s a great thing to reflect on.,389a3e653c
2079,neutral,negative,iamkiara__  im so sick  I fell over last night outside coz I was putting something in the bin,2785576a5b
2082,neutral,positive," Nice! Elise rolled out  Thas wassup! Have fun, ladies!",5eb31e181d
2083,neutral,positive, have a safe ride up the coast. Don`t be going 90 even though you can.  when its windy just smile cuz u know u have it better.,1281b062a4
2084,neutral,positive,Sleep....take two....this better work!,54aa9ae3a8
2085,neutral,negative,"have to wear my glasses today, cos my right eye is swollen and i don`t know why",1d18c624f2
2087,neutral,positive,I love my boy  he makes me so happy... and looks his sexiest in plain black boxers =p,f2a92aa5ff
2090,neutral,positive, WOOHOOO very cool see I knew u would get to see her,4363c63d9c
2092,neutral,negative,"  Yes,... I blame you all",437f792822
2094,neutral,negative,"He can`t fix it.   I guess I`ll write until I get too bored then watch tv. Man, this is lame.",d60072b03a
2096,neutral,positive,": Potter, are also in that category! Hehe. <3 I love you too!!! So much",3b743ded7e
2098,neutral,positive," SUPER EXCITED. JUST BOUGHT MY TIX TO SEE HEY MONDAY ON 6/20. AGAIN.  ~SVETLANA J. DENVER,CO",dabac40552
2100,neutral,positive,_Guy Me neither  But itï¿½s getting better,96e77388b8
2101,neutral,positive, try #fireflight first... female fronted metal is awesome..  ..  Unbreakable album would be a good start!,3e9ba7f25b
2103,neutral,negative, I`m not sure about this tweet business  Why are the simple things so difficult?,e711c03c57
2105,neutral,positive,With  walking the streets of Harlem. Home sweet home,2b049dbcb1
2107,neutral,negative, JUST like to clarify that I am a unable to acc. review vibrators as have not testrun any. *not an invitaiton for freebies,5c9645561c
2108,neutral,negative,Momma martini went food shopping without me!!!!,ef329bc827
2109,neutral,negative,"  Where I live, all the small markets deliver their day-old bread to the food bank, but times are really tough, even for me",841a5cfcdf
2110,neutral,positive,Good Morning. It`s Friday and the start of my work week  But... Lakers are going to take the 4th W tonight. Woohoo GO LAKERS!!!!,52eaf44b44
2111,neutral,negative,"really tired. and have to work the whole day tomorrow, the thought of it depresses me.  uncoooool....",895de1648c
2112,neutral,negative, Once James Cameron touches something and revolutionizes it... someone else comes along and **** it up,9e972c1093
2113,neutral,negative, I KNO!!! im so sad! evry1 is leavin its horrible! im supposed to b happy for summer but i cant ima miss evry1!,ebf2a10961
2115,neutral,positive, Good morning Dan! It`s my Bday and I plan on getting some exercise too today!!  Love ya!! See you in NYC!!!,a6aeb0b520
2118,neutral,negative,They`re gone.,78819d2e53
2119,negative,neutral,  What`s all your fault?,91c44d5912
2120,neutral,positive, http://twitpic.com/67swx - i wish i was calling you but i can`t from Malta,11aa4945ff
2121,neutral,negative,Have hardly worked out in the last two weeks but am losing weight.  Fear I`m losing muscle!!  Just made doc. appt. for injured foot,495299c926
2122,neutral,positive, will u say shoutout to NIKKI!!! please   (Soulja Boy Tell `Em LIVE live > http://ustre.am/2UhS),7f3b118605
2124,neutral,positive,"Won a diamond for my compï¿½tition  , yaayy tomorow its the DIAMOND DANCE OFF !! Were the best  .. Still in montrï¿½al !!",9a2689017d
2129,neutral,positive, I know it`s against the law... I am a rebel in small things.,d24c474353
2130,neutral,positive," Thanks to TweetStats, I confirmed what I long suspected: Twitter is keeping me up way too late!  ht.. http://twurl.nl/oaerf4",b13981be78
2131,neutral,positive, BabyLove em homenagem ao Baby D,44b0b41b62
2132,neutral,negative,won`t be going to the Oxford Internet Institute Sunner Doctoral Programme in Brisbane: lack of funding,a2c8b8dad7
2134,neutral,positive, all ur pic it`s so nice  look so cute..oh!!,b8d9a368ae
2135,neutral,positive,"watching a film, recovering from my operation",0010bcc0e2
2136,neutral,negative,My day on the computer is about to end. Dang. I hate not being allowed on the computer.,58c5bad2d3
2137,neutral,negative,i`m going to kill myself T_T . i wasted hundreds of download and realised i got the wrong one,7407e1cf5a
2139,neutral,negative,"School is going to be absolutely horrible today. Peace out, `09",c0e5365bf0
2140,neutral,negative, http://twitpic.com/4wh5x - LUCKY! I`m so jealous even though I don`t like her that much,0be9ed25f8
2143,neutral,negative,_hand Oops! I completely forgot!,68bf3f1fec
2145,neutral,negative,dam i missed hollyoaks 2nite!,341ed728c7
2146,neutral,negative, there`s relisting fees when you don`t complete a sale?  that sucks!,f585c22106
2147,neutral,positive,   _coach   IMHO this soft is the best to keep the chaos straight   http://bit.ly/yuFil,888b3fdf3e
2149,neutral,negative, err i think they`re like 15 bucks a ticket cause its 3D too. too expensive,79852f9590
2151,neutral,positive, http://twitpic.com/4u5h8 - leon looks supa` fly on that mini couch,94e0366b6d
2152,neutral,positive,_carter Hey Brian Littrell is there!! He doesnt really like this kinda pages rigth?  kisses! I loev you guys!,094681e31c
2153,neutral,positive," did you go to uga? If so, I liked you better before I knew! Ha!",6641548d60
2156,neutral,positive,"_grant  Hey Donna, lovely to see you on Twitter.",f837a046a9
2157,neutral,positive,  read something happy?,a567459a1a
2160,neutral,positive,Well that is nice.  Loving the new Friends organiser too.,271bb5e6b7
2161,negative,neutral, It is a recession,c8b610923d
2162,neutral,positive, I REEEALLY wish I could be there  haven`t been n a while.what`s goin on down there lately?,27d0c01bc2
2164,neutral,positive,I should have posted this for the world Pinhole day   I Love this picture. http://twitpic.com/4jb4d,9c11756ef3
2167,neutral,positive, you look sooooo pretty love. dang I wish I was in NY so I could c u do ur thang,81622f137d
2173,neutral,positive,is soo in love with beyonce`s song 'smash into you',da5c3fa1ef
2179,neutral,positive,"Had a good time out , now I must sleep lol. Gym & dance rehearsals in like 5 hours,",08d8063529
2182,neutral,negative,tweeting from ally court for the last time.... its a sad sad moment,a351659f85
2183,neutral,negative,_iddon blerrrrrrrrrrgh. im too hot and all sticky,33ae501ac5
2185,neutral,negative,i feel very ill. i think im dehydrated,cff0e3e256
2187,neutral,positive,I think Steph will enjoy her first Mother`s Day tomorrow.,b854daaaf8
2189,neutral,positive,"over LT training today, ehhh hard to tall how hard it was. But now I feels good. Sunday race day again... Its raining now so lost of mud",daa651cfd4
2190,neutral,positive,whos going to see reemer on wednesdayy  me and kirsty are going (A) im well exited !!!,85de235e0e
2191,neutral,negative, I miss having u as a roommate,a8e51d1a43
2192,neutral,positive, jersey weather - and good on you for the charity drive!,28825fc1f9
2194,neutral,positive, ~ I`m sure that would make Mr. Koons very happy,416726e6d2
2197,neutral,positive,would like to have a gaming system,bf46ac3c7f
2199,neutral,positive,"_rosaen i LOVE your new bracelets!! im a very proud sista...you rock, girly",a203734990
2200,neutral,positive,"Going home to enjoy what is left of the day - I can`t believe how quickly this week flew by, no time for tweets",2b70bcd0ad
2202,neutral,negative,Potluck for danielle taking veggie tray. I will miss her,c501544be4
2203,neutral,negative,"i think my cold is getting worse, not better!!  i cant stop coughing - it really sucks!!",5b5be601c2
2205,neutral,negative, my  tix are in limbo....as usual  #UPSsucks,cc0ad12b7c
2209,neutral,negative, my interview if picked is NY too. But you probably forgot about me after blogtalk radio.,856bb40ae0
2210,neutral,negative,Why am I having such a hard time falling asleep,cad8db609a
2211,neutral,negative,"oh kasa, please lose the hair do",93a199b78f
2215,neutral,positive, hope u did alright on the final,16357f7283
2216,neutral,positive,"Hey #socialmediatv  - I`m new here  - is this a recorded show, viewable later too?  thanks  (Social Media TV live > http://ustre.am/2NjV)",5657eb8429
2217,neutral,positive,Hello everyone im just sitting here rocking out to 9412 sam on the air The best classic rock station on twitter here,65c7eae9b6
2220,neutral,negative,is at home with a pukey boy! Poor little baby,756d255e40
2221,neutral,positive, He`s an amazing jockey! Saw that Clydesdale commercial too..loved it!,4d21d7611c
2222,neutral,positive, let me know how it goes babe  good luck!,131bc4a304
2223,neutral,positive," Good morning   Been here since 4am, just quiet.  How are you?",0a2c386597
2224,neutral,positive,Amazing night at the drive in,71617c28b6
2225,neutral,negative,Sam can go shoot her self.,656e4dfa55
2226,neutral,negative,Midnight ice-cream weather! So **** bored,fb08563a7b
2227,neutral,positive, guns and roses baby! yay!  was hopin you would blip.fm it,5c04a86c88
2228,neutral,negative,I kinda like not having a car but there have been situations lately where I have been prevented from participating due to my carlessness.,94c3127153
2229,neutral,negative,Sooo the Children`s Museum was closed for a fund raiser when we got there.  annoying,226c11669d
2230,neutral,positive,"Free for all... good nite I mean its a good nite, wateva",79e554fd60
2231,neutral,negative,Pulled in all directions and not knowing where to go,582e5d7420
2233,neutral,negative,"Yea, someone is getting the best of me.",206aba0edd
2234,neutral,positive,Cleaning all day today after he runs off to do his stuff and setting my schedule for the week.  I feel much better now and calmer too!,1f2445122f
2235,neutral,positive,using yahoo pipes to combine feeds - doable & reliable I guess,ee100f96c1
2237,neutral,negative, that`s odd as it`s on my lap  maybe that`s your cat O: s:,a1f42c0c89
2239,neutral,negative,"leaving work, going to crystal to search for her license, picking her and bia up, then heading to vegas. ugh i`m tired already",5921dbcbf3
2241,neutral,positive," LOVE the album guys and can`t wait for the official release  Just curious, what top 3 softsynths/DAW were used on it?",982b1c05d3
2242,neutral,positive, thanks for a nice blog post!  should however be given some creds since he has done at least half of the work on it,afd2159e57
2245,neutral,positive," i love you so much tay (: youre so amazing <3 you should come to denmark, we love you here",f50fcc36b5
2248,neutral,positive, we shuld do  a dance like that its seriously the best thing haha. see yu tomoro.,f422f53b7f
2251,neutral,negative,"i cant believe that its already friday! omg, what had i done?!",081a4e8b31
2253,neutral,positive,Bioshock is as fantastic as the first time I played it. Now sleep then more Bioshock tomorrow,6ed0958471
2254,neutral,positive, I love that song! I was starting to think I was the only one that knew that one!    #sameperson,2132f07ca3
2257,neutral,positive,Only a month left of high school! Thank God. I am ready for summer,5181eb11e4
2258,neutral,positive,#musicmonday Nicest Thing from Kate Nash,13cad32c3f
2260,neutral,negative, lucky e went!  jealous!,0b2ccf0b7e
2264,neutral,negative,not looking forward to driving in this storm.,52d7fcfd39
2265,neutral,positive,"omg having so much fun watcing house bunny, courto isa a ledge for sending me link  <3",5acf4885d4
2269,neutral,negative,want to see him so badly,ad1524a0c7
2272,neutral,negative,I have not been this sick in years. OMG. This sucks so bad. Sickness ended up including a full restroom cleanup.,7a4f2f28ba
2274,neutral,negative,"Working... And attempting to keep squirrels away.............. Squirels 1, jesska 0   I should stick to spiders",b6cd695d48
2275,neutral,positive,  *shrugs* So do I but it was too funny plus you know you enjoyed it Tweet **** ..   Love you..,cd60606781
2276,neutral,positive,"s/s aus fshionwk- zimmermann,illionare,dhini + gail sorronda,ROMANCE WAS BORN,lisa ho,CASSETTE SOCIETY-loved the tutu, balmain ispired?",32e183bbad
2278,neutral,negative, i have 2 friends going  so jealous,bfca4ba8ce
2282,neutral,positive,Having a cup of tea  I have a cold so it`s tasting really good!,a17703215b
2283,neutral,positive,"Never realized how good #Techmeme is until I actually read it (duh!) As an avid Tech Crunch reader, this is much better...",a240940b31
2286,neutral,negative,Radio Royals AM Transmitter has packed up today... not good   Anyone got a spare in your shed... lol,51be0f0a7c
2287,neutral,positive, LOL. Wow. That`s good.  Haha I still can`t believe it`s mother`s day.,11946e367a
2289,neutral,negative, Will have to it`s only across the water and all. Just damned expensive,a37538b291
2290,neutral,negative,"Guess I`m gonna try the nap thing again 2day, but since my kids haven`t cooperated with it yet this week I`m sure 2day won`t be different",c9a52dee1f
2291,neutral,positive,and so another week begins. this one has got to be better than the last,1dda981140
2292,neutral,negative, im following you! im following you! im sorry!  ahhahah i missed you!,35aa02c551
2293,neutral,positive,_bear i like you,dbeef30a84
2294,neutral,negative,ugh i need a job but no one is hiring,67381561f6
2296,neutral,negative,I don`t wanna work a 10-hour shift today! I`d rather whisper sweet-nothings into the earpiece of a lady friend`s cellphone.,ed84aa3983
2297,neutral,negative, Internet 1 drawing 0 ....**** I`m backing up blackberry files which could take hours  then to the drawing preps done,822cf03d0d
2304,neutral,negative,"i`m sunburnt on my arms, and i have burnt my mouth, and some skin is coming off",1937abbaac
2305,neutral,positive,staying home because I`m badass.,0a36e72ac2
2307,neutral,negative,I want it to be summer. NOW. why is it sprinkling STILL!?!?,cfd68d702e
2308,neutral,negative,My Birthday weekend! cant find where my ex hid our DANE COOK TICKETS for tomorrow!!! WTF that`s all i wanted for my birthday,b5da09a0f6
2309,neutral,negative,the voter paint just peeled off my skin. or maybe my skin just peeled off with the voter paint,53a531c7b4
2312,neutral,positive,This weekend has been probably the best and there is still another day to go!!,b1195a418c
2313,neutral,positive, TestFest was weer een groot succes,2d782345bc
2314,neutral,negative,No pool today.   Stupid weather.,b8b975d265
2318,positive,neutral,_stjohn That`s what we hope for!,3949bb2591
2319,neutral,negative,I meant looking like a tiger - stupid predictive text,ced0bb0d25
2320,neutral,negative,just finished playing mahjong. I lost $38 to Mag and Weisheng!,5428d6a1dd
2322,neutral,positive,thanks to  and i`m now on twitter!,cee062574a
2323,neutral,negative,i`m oh so very bored!  buut.. almost 2 days til i leave for france!,166332e48a
2324,neutral,positive,to overcome whatever darts the enemy may try and stop you with. We`ve gotta stay focused tweetz!  God bless you.,8f25eabe4a
2325,neutral,negative,"_kimmeh Me too, I miss it.  I, however, will #humpthestump for the rest of my life.",3c41934098
2326,neutral,negative,can`t help but feel today will be a massive Michael Jackson rumour day.  [Cue all the MJ haters...],9c1e71d5e9
2328,neutral,negative,ipod died today,8e48929733
2329,neutral,positive, is new van a nice one,6545e365a0
2330,neutral,negative,Birthday girl in the house!! Tweet tweet suckas,b221ecd789
2332,neutral,positive,Following new other #sanctuary fans! See the wonders of #SanctuarySunday !!!  good to meet you all!,43ee369d34
2333,neutral,negative," the old blue G4 is too slow to code on nowadays, I have a laptop I`ve borrowed from work ++ lets me lounge while I browse",9093f4a84f
2337,neutral,positive," when u go, LMK. Let`s go together",5055018a65
2338,neutral,positive,watching my tiny nephew  perfect baby,28013de754
2340,neutral,negative,I gave up on tumblr because the API isn`t pointing to the private account,ccd4caa001
2341,neutral,negative,"Oh insomnia, I hate you. I`m bored of staring at my ceiling, cano go sleepnow please?",e10587e6de
